ACCOUNT,DAY_OPENED,BAD_FLAG
143,20190525,0
144,20200112,0
145,20190515,0
146,20190618,0
147,20190522,0
148,20171017,0
149,20190421,0
150,20170907,0
151,20190409,0
152,20190619,0
153,20180830,0
154,20161010,0
155,20180614,0
156,20180706,0
157,20170324,0
158,20180504,0
159,20191126,0
160,20190605,0
161,20190917,0
162,20161212,0
163,20161115,0
164,20170511,0
165,20161027,0
166,20190329,0
167,20170921,0
168,20190122,0
169,20171220,0
170,20190614,1
171,20160905,0
172,20190828,1
173,20180925,0
174,20151217,0
175,20151125,0
176,20190825,0
177,20190713,0
178,20190509,0
179,20190506,0
180,20161027,0
181,20190802,1
182,20190515,1
183,20151210,0
184,20160729,0
185,20190328,1
186,20160914,0
187,20170828,0
188,20161222,0
189,20190726,0
190,20151204,0
191,20190413,0
192,20190515,0
193,20160725,0
194,20160930,0
195,20161013,0
196,20190422,0
197,20190603,0
198,20161008,0
199,20191216,0
200,20160202,0
201,20190226,0
202,20190609,0
203,20190128,0
204,20190114,0
205,20170621,0
206,20190827,0
207,20190504,0
208,20160831,0
209,20171031,0
210,20160711,0
211,20191210,0
212,20180105,0
213,20180521,0
214,20171130,0
215,20161228,0
216,20160715,0
217,20160726,0
218,20191209,1
219,20180522,0
220,20190716,0
221,20171125,0
222,20170327,0
223,20161026,0
224,20200113,0
225,20181030,0
226,20180629,0
227,20160627,0
228,20160615,0
229,20170330,0
230,20190710,0
231,20190729,0
232,20170526,0
233,20191015,0
234,20180621,0
235,20190815,0
236,20160822,0
237,20190315,0
238,20180813,0
239,20180525,0
240,20190513,0
241,20151215,0
242,20180710,0
243,20190626,0
244,20170718,0
245,20190928,0
246,20191107,0
247,20180829,0
248,20190922,0
249,20160425,1
250,20170518,0
251,20190604,0
252,20181026,0
253,20181030,0
254,20190808,0
255,20181127,0
256,20190429,0
257,20160513,0
258,20190912,0
259,20190619,0
260,20190509,0
261,20181017,0
262,20181022,0
263,20171025,0
264,20190114,0
265,20190625,0
266,20160629,0
267,20160314,0
268,20190829,0
269,20190917,0
270,20190510,0
271,20200226,0
272,20181207,0
273,20190515,0
274,20170707,0
275,20160824,0
276,20190712,0
277,20190428,0
278,20190709,0
279,20180312,0
280,20181022,0
281,20190709,0
282,20151223,0
283,20160331,0
284,20190320,0
285,20190926,0
286,20190913,0
287,20190522,0
288,20190614,0
289,20170203,0
290,20190618,0
291,20180516,0
292,20190614,0
293,20191225,0
294,20190213,0
295,20161125,0
296,20180110,0
297,20190105,0
298,20171020,0
299,20180831,0
300,20190918,0
301,20170324,0
302,20191212,0
303,20190615,1
304,20191008,0
305,20200115,1
306,20190506,0
307,20160627,0
308,20170105,0
309,20190329,0
310,20181022,0
311,20190519,1
312,20191217,0
313,20190816,0
314,20170704,0
315,20190221,0
316,20180105,0
