ACCOUNT,DAY_OPENED,Y_PRED
15397,20190504,
15398,20190611,
15399,20190221,
15400,20160624,
15401,20160818,
15402,20190320,
15403,20160114,
15404,20160607,
15405,20191121,
15406,20190211,
15407,20190616,
15408,20191004,
15409,20180312,
15410,20171110,
15411,20190617,
15412,20180904,
15413,20160927,
15414,20190420,
15415,20190722,
15416,20180208,
15417,20190905,
15418,20190614,
15419,20171031,
15420,20171201,
15421,20160930,
15422,20160309,
15423,20190715,
15424,20191008,
15425,20170802,
15426,20181104,
15427,20181212,
15428,20181226,
15429,20190519,
15430,20190507,
15431,20180121,
15432,20180201,
15433,20190530,
15434,20190228,
15435,20190529,
15436,20190506,
15437,20160923,
15438,20190304,
15439,20190425,
15440,20170712,
15441,20160225,
15442,20170518,
15443,20161103,
15444,20190302,
15445,20190724,
15446,20190509,
15447,20190711,
15448,20161012,
15449,20190516,
15450,20180926,
15451,20190422,
15452,20160927,
15453,20190520,
15454,20160618,
15455,20181206,
15456,20190619,
15457,20161214,
15458,20180206,
15459,20190522,
15460,20190115,
15461,20181210,
15462,20191218,
15463,20170607,
15464,20181210,
15465,20160811,
15466,20180918,
15467,20181127,
15468,20160802,
15469,20190516,
15470,20190816,
15471,20171123,
15472,20151215,
15473,20170317,
15474,20170323,
15475,20190610,
15476,20171027,
15477,20171026,
15478,20190703,
15479,20181121,
15480,20181029,
15481,20160215,
15482,20190517,
15483,20151208,
15484,20170428,
15485,20200117,
15486,20151229,
15487,20181221,
15488,20151127,
15489,20171013,
15490,20171121,
15491,20190428,
15492,20180705,
15493,20180924,
15494,20180302,
15495,20191105,
15496,20190510,
15497,20190612,
15498,20180930,
15499,20160524,
15500,20160318,
15501,20170414,
15502,20190614,
15503,20190319,
15504,20170330,
15505,20191015,
15506,20190430,
15507,20190801,
15508,20181031,
15509,20190509,
15510,20180720,
15511,20190723,
15512,20190617,
15513,20180808,
15514,20190501,
15515,20190624,
15516,20160715,
15517,20170818,
15518,20190505,
15519,20160127,
15520,20190618,
15521,20190601,
15522,20170303,
15523,20160303,
15524,20161027,
15525,20190617,
15526,20160927,
15527,20190724,
15528,20181023,
15529,20170504,
15530,20190506,
15531,20160815,
15532,20171122,
15533,20200108,
15534,20160829,
15535,20190619,
15536,20171127,
15537,20191007,
15538,20190426,
15539,20160930,
15540,20190815,
15541,20190313,
15542,20190527,
15543,20170414,
15544,20191127,
15545,20161008,
15546,20190615,
15547,20160523,
15548,20151210,
15549,20160721,
15550,20170322,
15551,20171010,
15552,20181207,
15553,20180125,
15554,20160715,
15555,20190515,
15556,20181109,
15557,20190617,
15558,20181118,
15559,20190910,
15560,20170620,
15561,20151217,
15562,20190618,
15563,20190614,
15564,20190402,
15565,20180614,
15566,20151215,
15567,20170320,
15568,20190805,
15569,20161008,
15570,20190523,
15571,20190712,
15572,20190509,
15573,20190616,
15574,20170614,
15575,20181209,
15576,20170519,
15577,20190730,
15578,20190515,
15579,20180829,
15580,20170629,
15581,20171127,
15582,20181211,
15583,20151127,
15584,20190713,
15585,20180429,
15586,20181107,
15587,20190515,
15588,20190507,
15589,20190806,
15590,20191017,
15591,20160628,
15592,20180710,
15593,20190510,
15594,20180719,
15595,20190728,
15596,20160819,
15597,20160823,
15598,20180312,
15599,20181210,
15600,20190815,
15601,20190610,
15602,20190709,
15603,20190929,
15604,20181017,
15605,20190820,
15606,20160729,
15607,20190315,
15608,20190110,
15609,20190328,
15610,20180703,
15611,20191107,
15612,20191112,
15613,20190611,
15614,20160831,
15615,20190429,
15616,20190823,
15617,20190816,
15618,20170804,
15619,20181125,
15620,20190509,
15621,20190711,
15622,20170908,
15623,20190729,
15624,20191024,
15625,20190826,
15626,20190509,
15627,20191005,
15628,20151224,
15629,20190421,
15630,20190917,
15631,20151229,
15632,20170307,
15633,20180719,
15634,20190620,
15635,20181014,
15636,20190306,
15637,20190718,
15638,20160512,
15639,20191104,
15640,20180424,
15641,20190916,
15642,20170621,
15643,20170622,
15644,20190615,
15645,20190312,
15646,20190726,
15647,20190906,
15648,20181011,
15649,20190603,
15650,20190916,
15651,20160810,
15652,20190619,
15653,20190507,
15654,20191019,
15655,20190517,
15656,20190118,
15657,20190510,
15658,20160202,
15659,20190131,
15660,20161104,
15661,20190625,
15662,20160606,
15663,20190723,
15664,20180727,
15665,20180608,
15666,20180301,
15667,20180213,
15668,20151208,
15669,20171110,
15670,20190505,
15671,20181107,
15672,20190619,
15673,20190828,
15674,20190306,
15675,20190617,
15676,20190817,
15677,20160323,
15678,20190428,
15679,20181015,
15680,20190806,
15681,20180319,
15682,20200227,
15683,20161021,
15684,20190822,
15685,20190427,
15686,20190430,
15687,20180914,
15688,20151214,
15689,20170707,
15690,20191105,
15691,20190729,
15692,20160224,
15693,20180621,
15694,20160817,
15695,20190222,
15696,20190805,
15697,20180504,
15698,20170731,
15699,20190313,
15700,20190413,
15701,20190623,
15702,20190110,
15703,20180801,
15704,20190528,
15705,20171016,
15706,20170713,
15707,20191113,
15708,20190812,
15709,20200115,
15710,20190924,
15711,20181219,
15712,20190327,
15713,20180413,
15714,20170330,
15715,20170915,
15716,20160808,
15717,20180705,
15718,20190618,
15719,20190924,
15720,20160505,
15721,20161128,
15722,20161122,
15723,20160330,
15724,20190505,
15725,20170329,
15726,20160714,
15727,20190613,
15728,20180814,
15729,20190220,
15730,20190617,
15731,20190509,
15732,20170802,
15733,20181107,
15734,20151209,
15735,20190419,
15736,20160711,
15737,20190717,
15738,20190918,
15739,20170630,
15740,20190624,
15741,20191230,
